country,unpeacefulness,eco_footprint,education,nominal_GDP,inequality,life_expectancy,happiness,cluster
Laos,-0.5394318577159107,-0.9352131456530793,-1.0415138599590195,-0.26446720901070886,-0.17714714589774444,-0.6913260070874018,-0.43895478994070386,1
United Kingdom,-0.5394318577159107,2.382628833442506,1.4037191551492034,0.9468550995533512,-0.3956877096421052,1.1097186073899121,1.4554307820270367,0
Panama,-0.532906673189383,-0.15890734726558756,0.14129652874449264,-0.2484892602606757,1.5711773640571407,0.7437462835186306,0.6321088323616073,3
Zambia,-0.5307316116805407,-1.048939472805387,-0.4956013728650909,-0.26355588635584515,2.650221397544921,-1.2387498790685556,-1.3302659956305405,1
Serbia,-0.5155061811186429,-0.20340895354257746,0.6303431317661375,-0.2482743700649505,-0.20446471636578895,0.36126363159083763,0.5371101458617505,3
Albania,-0.4959306275390606,-0.44569547660618963,0.4426857143275994,-0.2714072212076874,-0.614228273386465,0.7528315942500483,-0.3579264985143553,3
Sierra Leone,-0.4937555660302178,-0.9253238998137482,-1.5760531702384912,-0.27033669158299806,-0.2727586425359016,-2.4849290674527045,-1.5388905620615996,1
United Arab Emirates,-0.4393790283091554,0.9041865804625064,0.4028795954770004,-0.11122736347042982,-0.7098397700246232,0.6713350009726956,0.9869568672287211,0
Tanzania,-0.41110322869420257,-0.8857669164564237,-1.2860371614698416,-0.2449141618766858,0.38286304869717974,-1.025855284317401,-1.7493778478357929,1
Madagascar,-0.3958777981323052,-1.048939472805387,-0.9619016222578215,-0.2665353310768669,0.6696975386116532,-0.8109266647756308,-1.204532439968965,1
South Korea,-0.3958777981323052,1.2750332994374227,1.108016557973325,0.4431320897330597,-0.3137349982379698,1.383898534450199,0.3201033423865861,0
Vietnam,-0.37412718304388015,-0.7225943601074606,-0.23401830613258312,-0.1277582231255223,-0.2727586425359016,0.32256755020838496,-0.08410675507359079,3
Senegal,-0.36107681399082514,-0.9401577685727449,-1.7011581151975168,-0.26125130664731067,0.3555454782291343,-0.6888851773386623,-0.34395610344084715,1
Liberia,-0.3480264449377701,-0.9401577685727449,-1.3258432803204407,-0.27073784609071133,-0.32739378347199255,-1.2091887187782684,-0.8161554569254312,1
France,-0.3415012604112428,1.003079038855817,0.9829116130142996,0.8809810590433486,-0.8327688371308258,1.2959228280593218,1.107102264860894,0
Namibia,-0.3415012604112428,-0.3121906577752197,-0.5467806685301467,-0.2672756827000952,2.9233971022253717,-1.2628869732505343,-0.8636548001753599,1
Gambia,-0.30670027626976265,-1.0291609811267246,-1.678411761568603,-0.2712640917890018,-0.24544107206785712,-1.4877145134399705,-0.41939623683779215,1
Cyprus,-0.29364990721670764,0.5432291073269209,0.8009407839829905,-0.26165520610277954,-0.8600864075988712,1.0794959756229994,0.6721572982389982,0
Kazakhstan,-0.2544988000575425,1.2058085785621049,0.8350603144263604,-0.19598115464354296,-1.39277903172575,0.0215318811971981,0.6060307615577253,0
Greece,-0.25232373854869977,0.6272876969612352,0.9715384361998427,-0.1890713368718762,-0.45032285057819516,1.2092700646216934,0.20647746245538443,0
Montenegro,-0.2392733694956447,0.330610321781302,0.6985821926528788,-0.26991044041009066,0.1779812701868417,0.5238004028266732,0.07422438909283864,3
Moldova,-0.21317263138953463,-0.6583142621518083,0.24365512007460435,-0.26720392192305564,-1.6386371659381558,-0.15190263261600523,0.24652592833277537,3
Ecuador,-0.15009584763310213,-0.4654739682848519,0.16972947078063477,-0.23109334992717126,1.0521435251642839,0.5408862110678493,0.2446632089896411,3
Benin,-0.1370454785800471,-0.8412653101794338,-1.1154395092529892,-0.26498012210561495,1.3799543707808246,-1.52554737454543,-0.42498439486719575,1
Sri Lanka,-0.1370454785800471,-0.8857669164564237,0.46543206795651315,-0.24038617448610433,0.2872515520590216,0.5365469581812001,-1.0955633583955993,3
Argentina,-0.13052029405351934,0.014154454922706826,0.8464334912408172,-0.09357578086025967,0.5057921158033823,0.4943748441890934,0.3983375547982337,3
Nepal,-0.10006943292972423,-1.0538840957250526,-0.9391552686289077,-0.25862831299912503,-0.6688634143225559,-0.30418328860679805,-0.2163598284361366,3
Jordan,-0.0804938793501419,-0.5000863287225107,0.2493417084818328,-0.254283844972776,-0.5459343472163524,0.20405170574181725,-1.0303681813858938,3
Rwanda,-0.07614375633245737,-1.1082749478413736,-1.2348578658047857,-0.2679885848457675,0.8199441761859013,-0.542028587456178,-1.9431006595217764,1
