country,tradition_secularism,survival_self-expression,unpeacefulness,eco_footprint,education,nominal_GDP,inequality,life_expectancy,religion_christian,religion_muslim,religion_unaffiliated,religion_hinduism,religion_buddhism,religion_folk,religions_other,religion_judaism,happiness,cluster
Bosnia and Herzegovina,0.6439404094598399,-0.5946546599356721,0.02653081894390372,-0.2378619845497201,-0.0749474016697437,-0.3193650283100515,-0.4659568014331835,0.29190402091075246,-0.5073950598154218,-0.3491437100897384,-0.16255919528147805,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,0.034603614581753504,1
Brazil,-0.6850417287061497,0.6720023424332715,0.540820540010331,-0.2427503473850022,-0.2810717015096871,0.20420508386694738,2.4798519449940497,0.04992258170361582,4.063246831136336,-0.3916036777636553,0.03945979044211723,-0.11206882973075856,-0.16401057149634485,0.039463207682201164,-0.08610706598887574,-0.058991356717164226,0.5445485652172818,0
Bulgaria,1.4393160830591818,-0.9565566606125132,-0.8142920583551768,-0.14009472784408095,0.48545303852010424,-0.30124318952347146,0.5770568217037314,-0.10392123413120323,-0.39588345586877877,-0.36653694985977664,-0.15965813935072146,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,-0.5049319521448106,1
Burkina Faso,-1.0273553097489045,-0.4338093263015206,0.34694147849719403,-1.1715392860885754,-2.857625449508986,-0.3199323935375598,-0.14177689153927786,-2.227250119887761,-0.4609763538663407,-0.13300712765323366,-0.16282292763881956,-0.11206882973075856,-0.17291350172106434,-0.05477041670989525,-0.17921334799280242,-0.18186133541044094,-0.9310368238557356,0
Canada,0.039857619384390024,1.978870678210753,-1.3857250817623188,2.230761247267672,1.0909431692999392,0.32352779381086705,-0.42367246536006575,1.0318228443040915,0.06616941024506261,-0.37446622093141174,-0.05759371705955778,-0.10763904344847339,-0.16292041677495064,-0.12176707989896048,-0.08610706598887574,0.2218543088674683,1.3070001064963204,1
Chile,-0.5742932171923172,0.05877950795306864,-0.7591895882409169,0.3682950070252436,0.453246116670113,-0.3156794108974931,1.140847969345307,0.7344753373553853,-0.15178508837792146,-0.3924989180459367,-0.14436166262491398,-0.11206882973075856,-0.17273180926749862,-0.1258369706534364,-0.1713229851111137,-0.1643084813114014,0.3887046538044895,1
China,1.1070705485176846,-1.1073491608945303,0.4306155997818111,-0.11076455083238915,-0.5516098450496136,5.109703511626366,0.30925602657398316,0.2140560447447737,1.2650525397575356,0.23890126390023125,9.075853416212883,-0.11192593339907195,8.697493773810155,9.079629778931954,2.6849883780601957,-0.18186133541044094,-0.4329281196566215,4
Colombia,-1.581097867318067,0.661949509081137,1.3367451083274218,-0.8489073389599656,-0.34548554520966956,-0.22939283079167214,1.9865346908076709,0.27375541297021877,0.5821106591273774,-0.3923710265770393,-0.12352680639493482,-0.11206882973075856,-0.17291350172106434,-0.12239321693811062,-0.16816683995843823,-0.18186133541044094,0.23088803465229504,0
Croatia,0.3821712004271449,0.3704173418692373,-0.7367404337499217,0.15320704227283696,0.3952736573401287,-0.3059200842511367,-0.832421047400208,0.4548260236015809,-0.45030538698149447,-0.3910921118880659,-0.16071306878008748,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,0.10266203159113726,1
Cyprus,-0.2621837756533349,0.18946634153081682,-0.1877565648337749,0.2949695644960139,0.504777191630099,-0.31780026080191204,-0.6914732604898141,0.8619931878849363,-0.5383408637814758,-0.38546488725658296,-0.16361412471084408,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,0.4390087011592516,1
